A||B||C||D||E||F||G
2018-12-08 14:45:00||91.33||92.08||91.28||91.69||6429.62718||93.0
2018-12-08 15:00:00||91.66||92.28||91.59||92.07||4647.30873||93.0
2018-12-08 15:15:00||92.07||92.59||92.06||92.31||3715.31874||93.0
2018-12-08 15:30:00||92.29||92.31||91.83||91.93||3549.51062||93.0
2018-12-08 15:45:00||91.93||91.93||91.44||91.73||3501.02044||93.0
2018-12-08 16:00:00||91.73||91.77||90.87||91.13||4942.9921||93.0
2018-12-08 16:15:00||91.14||91.2||89.5||89.77||9266.35018||93.0
2018-12-08 16:30:00||89.82||90.48||89.5||90.14||9592.28146||90.0
2018-12-08 16:45:00||90.1||90.43||89.19||89.38||6337.52252||93.0
2018-12-08 17:00:00||89.37||89.49||88.4||88.63||7964.74185||90.0
2018-12-08 17:15:00||88.66||89.29||88.06||89.08||7121.8953||90.0
2018-12-08 17:30:00||89.08||89.11||88.5||88.87||3317.11957||90.0
2018-12-08 17:45:00||88.87||89.6||88.3||89.29||4934.22226||90.0
2018-12-08 18:00:00||89.3||90.81||89.21||90.65||8902.31182||90.0
2018-12-08 18:15:00||90.66||90.99||90.2||90.43||6833.87585||93.0
2018-12-08 18:30:00||90.43||90.62||89.23||89.46||5453.78193||93.0
2018-12-08 18:45:00||89.46||89.9||88.61||89.08||6488.54731||90.0
2018-12-08 19:00:00||89.09||89.62||89.03||89.23||4186.06387||90.0
2018-12-08 19:15:00||89.22||89.45||88.8||89.33||5631.24974||90.0
2018-12-08 19:30:00||89.29||90.19||89.26||89.78||6592.2272||90.0
2018-12-08 19:45:00||89.69||90.0||89.08||89.69||5570.7857||90.0
2018-12-08 20:00:00||89.7||89.76||88.79||88.79||4973.21034||90.0
2018-12-08 20:15:00||88.79||88.99||86.2||87.15||14319.03596||90.0
2018-12-08 20:30:00||87.14||88.14||86.8||87.82||8252.98435||90.0
2018-12-08 20:45:00||87.87||88.65||87.69||88.25||4875.51923||90.0
2018-12-08 21:00:00||88.3||88.72||87.58||88.23||5023.85408||90.0
2018-12-08 21:15:00||88.23||88.5||87.15||88.06||6686.18762||90.0
2018-12-08 21:30:00||88.09||88.38||87.3||87.87||4699.45018||90.0
2018-12-08 21:45:00||87.84||87.87||85.0||86.85||11951.55194||90.0
2018-12-08 22:00:00||86.84||87.72||86.1||87.47||9308.88334||87.0
2018-12-08 22:15:00||87.44||88.08||87.29||87.53||4608.87555||90.0
2018-12-08 22:30:00||87.53||87.8||87.34||87.76||3277.19598||90.0
2018-12-08 22:45:00||87.77||88.37||86.75||87.57||8317.12658||90.0
2018-12-08 23:00:00||87.6||88.59||87.26||88.41||6788.55925||90.0
2018-12-08 23:15:00||88.49||90.47||88.29||89.52||13801.19245||90.0
