A||G||H||I||J||K||currPrice||stopPrice||operDirection||operDescription
2018-12-05 20:45:00||3078.9700058138937||3331.335457659036||-252.36545184514216||-316.4020271767485||128.0731506632127||0.0||0.0|| || 
2018-12-05 21:00:00||2763.555095688679||3160.7752822768853||-397.22018658820616||-332.56565905904006||-129.3090550583322||0.0||0.0|| || 
2018-12-05 21:15:00||2556.6820194288825||3031.7460095156343||-475.0639900867518||-361.0653252645824||-227.99732964433883||0.0||0.0|| || 
2018-12-05 21:30:00||2482.23592259367||2960.7116673292912||-478.47574473562145||-384.5474091587902||-187.85667115366255||0.0||0.0|| || 
2018-12-05 21:45:00||3264.092900656182||3301.71867567527||-37.625775019087996||-315.1630823308497||555.0746146235234||0.0||0.0|| || 
2018-12-05 22:00:00||3957.6167528629235||3632.8504730326576||324.76627983026583||-187.1772098986266||1023.8869794577848||0.0||0.0|| || 
2018-12-05 22:15:00||4106.316263191705||3728.5032950302384||377.8129681614664||-74.17917428660799||903.9842848961488||0.0||0.0|| || 
2018-12-05 22:30:00||3810.898090392981||3614.2510613242944||196.6470290686866||-20.013933615549064||433.32192536847134||0.0||0.0|| || 
2018-12-05 22:45:00||4023.4691287940605||3731.166526411384||292.30260238267647||42.449373584096044||499.70645759716086||0.0||0.0|| || 
2018-12-05 23:00:00||3856.499981287282||3672.426018529059||184.07396275822293||70.77429141892142||226.59934267860302||0.0||0.0|| || 
2018-12-05 23:15:00||3417.7665057046233||3474.8190830824624||-57.05257737783904||45.20891765956932||-204.52299007481673||0.0||0.0|| || 
2018-12-05 23:30:00||3002.40022636545||3270.6017947059836||-268.2015683405334||-17.473179540451227||-501.4567776001644||0.0||0.0|| || 
2018-12-05 23:45:00||3519.1007623092273||3499.516751394429||19.584010914798455||-10.061741449401291||59.29150472839949||0.0||0.0|| || 
2018-12-06 00:00:00||3192.126697338577||3343.5354616615086||-151.4087643229318||-38.33114602410739||-226.1552365976488||0.0||0.0|| || 
2018-12-06 00:15:00||2969.039290055719||3224.907542279175||-255.86825222345578||-81.83856726397707||-348.05936991895743||0.0||0.0|| || 
